customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4811-9279,Male,0,No,Yes,29,Yes,No,Month-to-month,Yes,Credit card,23.11,670.19,Yes
6514-2674,Male,0,No,Yes,58,No,DSL,Month-to-month,No,Bank transfer,47.23,2739.34,Yes
5803-6925,Male,1,Yes,No,45,No,DSL,Two year,No,Electronic check,115.37,5191.65,No
3664-7065,Male,0,Yes,Yes,38,Yes,DSL,Month-to-month,No,Bank transfer,64.43,2448.34,No
4598-6313,Female,0,No,Yes,22,Yes,DSL,One year,No,Bank transfer,116.97,2573.34,No
8517-3340,Male,0,Yes,No,52,No,DSL,Month-to-month,No,Mailed check,84.23,4379.96,Yes
2796-3504,Female,0,Yes,No,55,No,Fiber optic,Month-to-month,Yes,Credit card,28.91,1590.05,Yes
5371-6573,Male,1,Yes,No,49,No,No,One year,Yes,Electronic check,86.81,4253.69,No
5889-9317,Male,0,No,Yes,59,Yes,No,Two year,No,Mailed check,69.75,4115.25,Yes
6038-4923,Male,0,No,Yes,70,Yes,No,One year,No,Electronic check,30.96,2167.2,No
9645-7932,Male,0,Yes,Yes,63,Yes,No,Month-to-month,Yes,Credit card,112.79,7105.77,Yes
4770-4608,Male,0,No,No,48,No,No,One year,Yes,Mailed check,42.02,2016.96,No
3167-8744,Male,0,Yes,Yes,9,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,85.56,770.04,Yes
1887-2612,Male,1,No,Yes,13,Yes,No,One year,No,Credit card,60.29,783.77,No
5092-2235,Male,1,No,Yes,32,Yes,DSL,Two year,No,Mailed check,61.34,1962.88,No
1960-3697,Female,0,Yes,Yes,12,Yes,DSL,One year,No,Credit card,40.95,491.4,No
1958-9883,Female,0,No,No,59,No,Fiber optic,Two year,No,Mailed check,38.61,2277.99,Yes
4853-7615,Male,0,Yes,Yes,62,Yes,DSL,Two year,Yes,Mailed check,26.72,1656.64,Yes
5915-8491,Male,0,Yes,Yes,54,No,Fiber optic,Month-to-month,No,Mailed check,46.03,2485.62,Yes
5002-7054,Female,0,Yes,No,13,Yes,No,Month-to-month,No,Mailed check,111.46,1448.98,No
2891-2753,Female,0,No,No,68,Yes,No,Two year,No,Electronic check,112.02,7617.36,Yes
1832-2512,Male,0,No,Yes,44,Yes,No,Two year,No,Credit card,44.61,1962.84,No
1158-2832,Female,0,Yes,Yes,43,Yes,No,One year,Yes,Credit card,74.06,3184.58,No
1653-6862,Male,0,Yes,No,71,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,55.74,3957.54,No
3900-7755,Male,0,Yes,No,72,No,No,Two year,Yes,Mailed check,104.73,7540.56,No
4644-4269,Male,0,No,No,32,No,DSL,Two year,Yes,Credit card,105.47,3375.04,No
5573-6753,Female,0,No,Yes,29,Yes,No,Month-to-month,No,Bank transfer,47.3,1371.7,Yes
6139-8149,Female,0,Yes,Yes,34,Yes,No,One year,Yes,Electronic check,78.46,2667.64,No
6409-6143,Male,1,Yes,No,6,No,DSL,Two year,Yes,Bank transfer,62.27,373.62,No
3851-5930,Male,0,No,No,42,No,No,One year,Yes,Mailed check,61.2,2570.4,No
9375-8752,Female,0,No,No,27,No,No,Two year,No,Credit card,63.3,1709.1,No
8784-2193,Male,0,No,No,12,Yes,No,One year,Yes,Mailed check,34.44,413.28,Yes
9486-8611,Female,1,Yes,No,64,No,DSL,Month-to-month,Yes,Electronic check,96.29,6162.56,Yes
9270-7991,Male,0,Yes,No,18,No,No,Two year,No,Credit card,80.04,1440.72,No
5681-4841,Female,0,No,No,34,Yes,No,One year,No,Mailed check,46.91,1594.94,Yes
9890-8633,Female,0,No,Yes,18,Yes,DSL,One year,Yes,Mailed check,26.29,473.22,No
7389-7865,Female,0,Yes,No,50,Yes,No,One year,No,Electronic check,112.39,5619.5,No
3091-9751,Male,1,Yes,No,56,No,DSL,One year,No,Credit card,90.97,5094.32,No
6355-6529,Male,1,Yes,Yes,55,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,57.15,3143.25,Yes
1659-1508,Female,0,No,No,11,No,DSL,Two year,Yes,Bank transfer,41.97,461.67,Yes
7043-3749,Male,0,Yes,Yes,31,Yes,Fiber optic,Two year,Yes,Mailed check,65.57,2032.67,Yes
4978-2669,Male,0,No,Yes,4,No,No,Two year,No,Credit card,112.26,449.04,Yes
9031-2729,Female,0,Yes,No,69,No,No,One year,Yes,Bank transfer,21.24,1465.56,No
5397-6280,Female,0,No,Yes,56,Yes,No,Two year,No,Credit card,65.56,3671.36,No
3979-8988,Male,0,No,No,32,No,No,Two year,No,Bank transfer,22.81,729.92,No
4937-8800,Male,0,No,No,36,No,No,Month-to-month,Yes,Electronic check,43.65,1571.4,Yes
9698-6632,Female,1,Yes,Yes,38,Yes,Fiber optic,Two year,Yes,Bank transfer,85.07,3232.66,No
4033-4138,Female,0,No,No,35,No,Fiber optic,Month-to-month,Yes,Mailed check,50.92,1782.2,No
3073-5494,Male,1,No,No,13,Yes,Fiber optic,Month-to-month,No,Mailed check,49.62,645.06,No
1841-5136,Male,0,No,Yes,63,Yes,DSL,Two year,No,Credit card,66.91,4215.33,No
5978-2395,Female,0,Yes,No,63,Yes,No,Two year,Yes,Mailed check,34.62,2181.06,No
2625-4404,Male,0,No,Yes,67,No,Fiber optic,One year,No,Credit card,49.93,3345.31,No
8699-5771,Male,0,Yes,Yes,31,Yes,No,Month-to-month,Yes,Electronic check,60.03,1860.93,No
3441-5352,Male,0,No,No,59,Yes,No,Month-to-month,No,Mailed check,61.66,3637.94,No
9199-9847,Male,0,Yes,Yes,40,No,Fiber optic,Month-to-month,No,Bank transfer,88.57,3542.8,No
1339-5415,Female,1,Yes,Yes,56,No,No,One year,Yes,Electronic check,42.43,2376.08,No
6260-2713,Male,0,No,No,36,Yes,No,One year,No,Electronic check,66.06,2378.16,No
7622-9431,Male,0,No,No,37,No,No,Month-to-month,No,Electronic check,50.82,1880.34,Yes
5719-8178,Male,1,No,Yes,25,No,No,One year,No,Electronic check,39.95,998.75,No
2858-8560,Female,0,Yes,Yes,21,No,No,Month-to-month,No,Electronic check,42.02,882.42,No
